"","X","Textgrid","WordNumber_inTG","Word_B","Count_B","IPA_word","Variation","Variation_Occurence","Variation_B_Entropy","syllable_count","Word_start","Word_stop","Speak_duration_of_B","Phon_Segments","Phon_Segm_Start","Phon_Segm_Stop","Count_phonemes_eig","Difference_count","Word_A2","A2_IPA","A2_POS","Count_A2","Word_A1","A1_IPA","A1_POS","Count_A1","RelFreq_A1","A1_Entropy","A1_Surprisal","Word_C1","C1_IPA","C1_POS","Count_C1","RelFreq_C1","C1_Entropy","C1_Surprisal","Word_C2","C2_IPA","C2_POS","Count_C2","Bigram_A1B","Bigram_Count_A1B.variation.","Pr_B.variation._given_A1","Pr_B_given_A1","Bigram_BC1","Bigram_Count_B.variation.C1","Pr_B.variation._given_C1","Pr_B_given_C1","LastSegment_Variation","LS_in_Vari.","Count_LastSegm_in_Variation","LS_frontvowel","LS_centralvowel","LS_backvowel","LS_voiced","LS_voiceless","LS_plosive","LS_nasal","LS_fricative","LS_lateral","LS_trill","LS_approximant","Variation_FirstSegment","FS_in_Vari.","Count_FirstSegm_in_Variation","FS_frontvowel","FS_centralvowel","FS_backvowel","FS_voiced","FS_voiceless","FS_plosive","FS_nasal","FS_fricative","FS_lateral","FS_trill","FS_approximant","Trigram_A2A1B","Trigram_Occurence_A2A1B","Trigram_A1BC1","Trigram_Occurence_A1BC1","Trigram_BC1C2","Trigram_Occurence_BC1C2","Fivegram_A2A2BC1C2","Start_A2","Stop_C2","Speech_duration_fivegram","speech_rate","Pause_A1","Pause_C1","Speaker","l.P_B_gvn_A1","l.P_B_gvn_C1"
"1",0,"rec_018_IS_id_035_6.TextGrid",420,"eigentlich",1077,"aigɛntlɪx","aiŋɪç",179,5.16960623895461,2,157.26039402323,157.642515542686,0.382121519456007,"ai_ŋ_ɪ_ç","157.26_157.4_157.478_157.53","157.4_157.478_157.53_157.643",5,3,"der","deːr","ART.Dat.Sg.Fem",3356,"Fachschaft","faxʃaft","NN.Dat.Sg.Fem",11,3.09033035631509e-05,3.09579525500093,14.9818794039634,"<P>","<P>","<P>",54598,0.153387142540083,8.57108715888033,2.70475053884624,"von","foːn","APPR.--",1067,"('Fachschaft', 'aiŋɪç')",1,0.0909090909090909,0.0909090909090909,"('aiŋɪç', '<P>')",32,0.00058610205502033,0.00307703578885673,"('t', 'aiŋɪç')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('aiŋɪç', '<P>')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('der', 'Fachschaft', 'aiŋɪç')",1,"('Fachschaft', 'aiŋɪç', '<P>')",1,"('aiŋɪç', '<P>', 'von')",1,"('der', 'Fachschaft', 'aiŋɪç', '<P>', 'von')",156.772737414388,159.238804762707,2.466067348319,2.83852750606003,FALSE,TRUE,"035",-2.39789527279837,-7.44201662822574
"2",1,"rec_018_IS_id_035_6.TextGrid",783,"eigentlich",1077,"aigɛntlɪx","jaiŋɪç",1,5.16960623895461,2,395.634791658215,395.917758028165,0.282966369949975,"j_ai_ŋ_ɪ_ç","395.635_395.658_395.777_395.817_395.855","395.658_395.777_395.817_395.855_395.918",6,2,"verwundert","fɛrvʊndɛrt","VAFIN.1.Sg.Pres.Ind",3,"mich","mɪx","ADJD.Pos",640,0.00179801038912878,6.63965982892789,9.11938292771336,"<LACHEN>","<LACHEN>","<LACHEN>",4410,0.0123894153375905,3.85526911605852,6.33474808215584,"<P>","<P>","<P>",54598,"('mich', 'jaiŋɪç')",1,0.0015625,0.0078125,"('jaiŋɪç', '<LACHEN>')",1,0.000226757369614512,0.000226757369614512,"('ç', 'jaiŋɪç')",TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"('jaiŋɪç', '<LACHEN>')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('verwundert', 'mich', 'jaiŋɪç')",1,"('mich', 'jaiŋɪç', '<LACHEN>')",1,"('jaiŋɪç', '<LACHEN>', '<P>')",1,"('verwundert', 'mich', 'jaiŋɪç', '<LACHEN>', '<P>')",395.092755943523,397.288680065798,2.19592412227502,3.18772398781606,FALSE,FALSE,"035",-6.46146817635372,-8.39162996844089
"3",2,"rec_040_AS_id_080_3.TextGrid",593,"eigentlich",1077,"aigɛntlɪx","aiŋɪç",179,5.16960623895461,2,204.545240097795,204.795075465709,0.249835367914017,"ai_ŋ_ɪ_ç","204.545_204.672_204.716_204.747","204.672_204.716_204.747_204.795",5,3,"dis","dɪs","FM.--",436,"is","ɪs","ADV.--",2684,0.00754040606940882,6.12309987811412,7.05114206640054,"wirklich","vɪrklɪx","ADJD.Pos",397,0.00111532831950645,5.78334294205506,9.80831582545776,"<P>","<P>","<P>",54598,"('is', 'aiŋɪç')",7,0.0026080476900149,0.0115499254843517,"('aiŋɪç', 'wirklich')",2,0.00503778337531486,0.0100755667506297,"('s', 'aiŋɪç')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('aiŋɪç', 'v')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('dis', 'is', 'aiŋɪç')",2,"('is', 'aiŋɪç', 'wirklich')",1,"('aiŋɪç', 'wirklich', '<P>')",1,"('dis', 'is', 'aiŋɪç', 'wirklich', '<P>')",204.311364211869,205.710549601767,1.39918538989801,5.00291101560906,FALSE,FALSE,"080",-5.94915334903626,-5.29078910012725
"4",3,"rec_040_AS_id_080_3.TextGrid",621,"eigentlich",1077,"aigɛntlɪx","aiŋɪç",179,5.16960623895461,2,211.692718615914,211.943581484405,0.250862868490998,"ai_ŋ_ɪ_ç","211.693_211.806_211.857_211.887","211.806_211.857_211.887_211.944",5,3,"mag","maːk","KON.--",66,"den","deːn","ART.Acc.Sg.Neut",1168,0.00328136896016002,8.30171989096475,8.2514864637207,"wirklich","vɪrklɪx","ADV.--",397,0.00111532831950645,5.78334294205506,9.80831582545776,"aber","aːbər","PPER.1.Nom.Sg.*",3901,"('den', 'aiŋɪç')",1,0.000856164383561644,0.00342465753424658,"('aiŋɪç', 'wirklich')",2,0.00503778337531486,0.0100755667506297,"('n', 'aiŋɪç')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('aiŋɪç', 'v')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('mag', 'den', 'aiŋɪç')",1,"('den', 'aiŋɪç', 'wirklich')",1,"('aiŋɪç', 'wirklich', 'aber')",1,"('mag', 'den', 'aiŋɪç', 'wirklich', 'aber')",211.41658478822,212.753286879518,1.33670209129798,6.73298864316186,FALSE,FALSE,"080",-7.06304816338817,-5.29078910012725
"5",4,"rec_027_AS_id_054_6.TextGrid",120,"eigentlich",1077,"aigɛntlɪx","aiŋɪç",179,5.16960623895461,2,53.6259664868156,53.9232702984036,0.297303811588044,"ai_ŋ_ɪ_ç","53.626_53.822_53.87_53.886","53.822_53.87_53.886_53.923",5,3,"ess","ɛs","PPER.1.Nom.Sg.*",11,"ja","jaː","ADJD.Pos",13420,0.0377020303470441,5.37879744744859,4.72921397151318,"auch","aux","ADV.--",4690,0.0131760448828343,6.53776966301838,6.24593881519798,"viele","fiːlə","ADV.--",213,"('ja', 'aiŋɪç')",22,0.00163934426229508,0.00752608047690015,"('aiŋɪç', 'auch')",18,0.00383795309168444,0.0196162046908316,"('a', 'aiŋɪç')",TRUE,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('aiŋɪç', 'a')",TRUE,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('ess', 'ja', 'aiŋɪç')",1,"('ja', 'aiŋɪç', 'auch')",5,"('aiŋɪç', 'auch', 'viele')",1,"('ess', 'ja', 'aiŋɪç', 'auch', 'viele')",53.3091382145431,54.4902432207721,1.181105006229,6.77331817053435,FALSE,FALSE,"054",-6.41345895716736,-5.56281610354416
"6",5,"rec_027_AS_id_054_6.TextGrid",618,"eigentlich",1077,"aigɛntlɪx","ai",57,5.16960623895461,1,379.646917677709,379.840314733628,0.193397055919036,"ai","379.647","379.84",2,6,"ich","ɪx","ADJD.Pos",11641,"bin","bɪn","ADV.--",609,0.00171091926090535,5.1661738263252,9.19101260469439,"den","deːn","PPER.1.Nom.Sg.*",1168,0.00328136896016002,6.32986462802482,8.2514864637207,"ganzen","gantsən","VAFIN.1.Sg.Pres.Ind",140,"('bin', 'ai')",1,0.00164203612479475,0.00164203612479475,"('ai', 'den')",1,0.000856164383561644,0.00342465753424658,"('n', 'ai')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('ai', 'd')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('ich', 'bin', 'ai')",1,"('bin', 'ai', 'den')",1,"('ai', 'den', 'ganzen')",1,"('ich', 'bin', 'ai', 'den', 'ganzen')",379.387182539491,380.477208640416,1.090026100925,7.33927379648172,FALSE,FALSE,"054",-6.4118182677099,-7.06304816338817
"7",6,"rec_027_AS_id_054_6.TextGrid",746,"eigentlich",1077,"aigɛntlɪx","aiç",171,5.16960623895461,1,442.597452907886,442.85,0.252547092114014,"ai_ç","442.597_442.815","442.815_442.85",3,5,"zieht","tsiːt","NN.Nom.Sg.Neut",23,"dann","dan","ART.Gen.Sg.Masc",5102,0.014333514070836,7.498687355301,6.12446383899825,"nur","nuːr","ADV.--",913,0.00256497419574152,6.42987483180575,8.6068399726165,"runter","rʊntər","ADJD.Pos",47,"('dann', 'aiç')",3,0.000588004704037632,0.00313602508820071,"('aiç', 'nur')",5,0.00547645125958379,0.0175246440306681,"('n', 'aiç')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('aiç', 'n')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('zieht', 'dann', 'aiç')",1,"('dann', 'aiç', 'nur')",1,"('aiç', 'nur', 'runter')",1,"('zieht', 'dann', 'aiç', 'nur', 'runter')",442.142948381576,443.30597149244,1.163023110864,6.87862513244199,FALSE,FALSE,"054",-7.43877561003365,-5.20729796816087
"8",7,"rec_027_AS_id_054_6.TextGrid",819,"eigentlich",1077,"aigɛntlɪx","ainklɪç",48,5.16960623895461,2,461.928689554874,462.33,0.401310445126001,"ai_n_k_l_ɪ_ç","461.929_462.1_462.169_462.209_462.239_462.298","462.1_462.169_462.209_462.239_462.298_462.33",7,1,"<P>","<P>","<P>",54598,"ja","jaː","ADV.--",13420,0.0377020303470441,5.37879744744859,4.72921397151318,"schon","ʃoːn","KON.--",1978,0.00555697585890113,6.42129095278292,7.49148431184161,"<P>","<P>","<P>",54598,"('ja', 'ainklɪç')",9,0.000670640834575261,0.00752608047690015,"('ainklɪç', 'schon')",3,0.00151668351870576,0.0242669362992922,"('a', 'ainklɪç')",TRUE,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('ainklɪç', 'ʃ')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('<P>', 'ja', 'ainklɪç')",2,"('ja', 'ainklɪç', 'schon')",3,"('ainklɪç', 'schon', '<P>')",1,"('<P>', 'ja', 'ainklɪç', 'schon', '<P>')",460.56,467.134257811582,6.57425781158202,0.683113637534015,FALSE,FALSE,"054",-7.30727683318945,-6.49122922351455
"9",8,"rec_027_AS_id_054_6.TextGrid",1115,"eigentlich",1077,"aigɛntlɪx","aiç",171,5.16960623895461,1,585.743903500561,585.952647691399,0.208744190837933,"ai_ç","585.744_585.904","585.904_585.953",3,5,"ich","ɪx","ADV.--",11641,"kann","kan","PWAV.--",905,0.00254249906587742,4.99812106404935,8.61953704063015,"auch","aux","NE.Nom.Sg.Masc",4690,0.0131760448828343,6.53776966301838,6.24593881519798,"des","deːs","XY.--",2015,"('kann', 'aiç')",2,0.00220994475138122,0.00331491712707182,"('aiç', 'auch')",24,0.00511727078891258,0.0196162046908316,"('n', 'aiç')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('aiç', 'a')",TRUE,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('ich', 'kann', 'aiç')",1,"('kann', 'aiç', 'auch')",1,"('aiç', 'auch', 'des')",1,"('ich', 'kann', 'aiç', 'auch', 'des')",585.459631873891,586.29,0.830368126108965,8.42999602212745,FALSE,FALSE,"054",-6.11478776313998,-5.27513403109238
"10",9,"rec_034_IS_id_067_4.TextGrid",411,"eigentlich",1077,"aigɛntlɪx","aiŋɪç",179,5.16960623895461,2,190.635593038853,190.936503628786,0.300910589933011,"ai_ŋ_ɪ_ç","190.636_190.727_190.832_190.886","190.727_190.832_190.886_190.937",5,3,"is","ɪs","FM.--",2684,"ja","jaː","ADV.--",13420,0.0377020303470441,5.37879744744859,4.72921397151318,"des","deːs","ART.Gen.Sg.Neut",2015,0.00566092333452264,6.43134829955255,7.46474689918539,"Bankenzentrum","baŋkɛntsɛntruːm","NN.Gen.Sg.Neut",1,"('ja', 'aiŋɪç')",22,0.00163934426229508,0.00752608047690015,"('aiŋɪç', 'des')",1,0.000496277915632754,0.000496277915632754,"('a', 'aiŋɪç')",TRUE,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('aiŋɪç', 'd')",FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"('is', 'ja', 'aiŋɪç')",3,"('ja', 'aiŋɪç', 'des')",1,"('aiŋɪç', 'des', 'Bankenzentrum')",1,"('is', 'ja', 'aiŋɪç', 'des', 'Bankenzentrum')",190.321321802049,192.271476706448,1.950154904399,4.61501800687655,FALSE,FALSE,"067",-6.41345895716736,-7.60837447438078
